,speaker,topic,episode_id,episode_name,category,text
90,3,uncategorized,uncategorized,uncategorized,uncategorized,"But it is clear, when you look at what Donald has been proposing, he started his campaign bashing immigrants, calling Mexican immigrants rapists and criminals and drug dealers, that he has a very different view about what we should do to deal with immigrants.
"
91,3,uncategorized,uncategorized,uncategorized,uncategorized,"Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages.
"
92,3,uncategorized,uncategorized,uncategorized,uncategorized,"And Donald knows a lot about this. He used undocumented labor to build the Trump Tower. He underpaid undocumented workers, and when they complained, he basically said what a lot of employers do: ÒYou complain, I'll get you deported.Ó
"
93,3,uncategorized,uncategorized,uncategorized,uncategorized,"I want to get everybody out of the shadows, get the economy working, and not let employers like Donald exploit undocumented workers, which hurts them, but also hurts American workers.
"
94,2,uncategorized,uncategorized,uncategorized,uncategorized," Mr. Trump?
"
95,1,uncategorized,uncategorized,uncategorized,uncategorized," President Obama has moved millions of people out. Nobody knows about it, nobody talks about it. But under Obama, millions of people have been moved out of this country. They've been deported. She doesn't want to say that, but that's what's happened, and that's what happened big league.
"
96,1,uncategorized,uncategorized,uncategorized,uncategorized,"As far as moving these people out and moving – we either have a country or we don't. We're a country of laws. We either have a border or we don't.
"
97,1,uncategorized,uncategorized,uncategorized,uncategorized,"Now, you can come back in and you can become a citizen. But it's very unfair. We have millions of people that did it the right way. They're on line. They're waiting. We're going to speed up the process, big league, because it's very inefficient. But they're on line and they're waiting to become citizens.
"
98,1,uncategorized,uncategorized,uncategorized,uncategorized,"Very unfair that somebody runs across the border, becomes a citizen, under her plan, you have open borders. You would have a disaster on trade, and you will have a disaster with your open borders.
"
99,2,uncategorized,uncategorized,uncategorized,uncategorized," I want to...
"
100,1,uncategorized,uncategorized,uncategorized,uncategorized," But what she doesn't say is that President Obama has deported millions and millions of people just the way it is.
"
101,2,uncategorized,uncategorized,uncategorized,uncategorized," Secretary Clinton, I want to...
"
102,3,uncategorized,uncategorized,uncategorized,uncategorized," We will not have open borders. That is...
"
103,2,uncategorized,uncategorized,uncategorized,uncategorized," Well, let me – Secretary...
"
104,3,uncategorized,uncategorized,uncategorized,uncategorized," That is a rank mischaracterization.
"
105,2,uncategorized,uncategorized,uncategorized,uncategorized," Secretary Clinton...
"
106,3,uncategorized,uncategorized,uncategorized,uncategorized," We will have secure borders, but we'll also have reform. And this used to be a bipartisan issue. Ronald Reagan was the last president...
"
107,2,uncategorized,uncategorized,uncategorized,uncategorized," Secretary Clinton, excuse me. Secretary Clinton.
"
108,3,uncategorized,uncategorized,uncategorized,uncategorized," ... to sign immigration reform, and George W. Bush supported it, as well.
"
109,2,uncategorized,uncategorized,uncategorized,uncategorized," Secretary Clinton, I want to clear up your position on this issue, because in a speech you gave to a Brazilian bank, for which you were paid $225,000, we've learned from the WikiLeaks, that you said this, and I want to quote. ÒMy dream is a hemispheric common market with open trade and open borders.Ó So that's the question...
"
110,1,uncategorized,uncategorized,uncategorized,uncategorized," Thank you.
"
111,2,uncategorized,uncategorized,uncategorized,uncategorized," That's the question. Please quiet, everybody. Is that your dream, open borders? CLINTON"
112,2,uncategorized,uncategorized,uncategorized,uncategorized,"But you are very clearly quoting from WikiLeaks. And what's really important about WikiLeaks is that the Russian government has engaged in espionage against Americans. They have hacked American websites, American accounts of private people, of institutions. Then they have given that information to WikiLeaks for the purpose of putting it on the Internet.
"
113,2,uncategorized,uncategorized,uncategorized,uncategorized,"This has come from the highest levels of the Russian government, clearly, from Putin himself, in an effort, as 17 of our intelligence agencies have confirmed, to influence our election.
"
114,3,uncategorized,uncategorized,uncategorized,uncategorized," So I actually think the most important question of this evening, Chris, is, finally, will Donald Trump admit and condemn that the Russians are doing this and make it clear that he will not have the help of Putin in in this election, that he rejects Russian espionage against Americans, which he actually encouraged in the past? Those are the questions we need answered. We've never had anything like this happen in any of our elections before.
"
115,2,uncategorized,uncategorized,uncategorized,uncategorized," Well?
"
116,1,uncategorized,uncategorized,uncategorized,uncategorized," That was a great pivot off the fact that she wants open borders, OK? How did we get on to Putin?
"
117,2,uncategorized,uncategorized,uncategorized,uncategorized," Hold on – hold on, wait. Hold on, folks. Because we – this is going to end up getting out of control. Let's try to keep it quiet so – for the candidates and for the American people.
"
118,1,uncategorized,uncategorized,uncategorized,uncategorized," So just to finish on the borders...
"
119,2,uncategorized,uncategorized,uncategorized,uncategorized," Yes?
"
120,1,uncategorized,uncategorized,uncategorized,uncategorized," She wants open borders. People are going to pour into our country. People are going to come in from Syria. She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people. They have no idea where they come from.
"
121,1,uncategorized,uncategorized,uncategorized,uncategorized,"And you see, we are going to stop radical Islamic terrorism in this country. She won't even mention the words, and neither will President Obama. So I just want to tell you, she wants open borders.
"
122,1,uncategorized,uncategorized,uncategorized,uncategorized,"Now we can talk about Putin. I don't know Putin. He said nice things about me. If we got along well, that would be good. If Russia and the United States got along well and went after ISIS, that would be good.
"
123,1,uncategorized,uncategorized,uncategorized,uncategorized,"He has no respect for her. He has no respect for our president. And I'll tell you what: We're in very serious trouble, because we have a country with tremendous numbers of nuclear warheads – 1,800, by the way – where they expanded and we didn't, 1,800 nuclear warheads. And she's playing chicken. Look, Putin...
"
124,2,uncategorized,uncategorized,uncategorized,uncategorized," Wait, but...
"
125,1,uncategorized,uncategorized,uncategorized,uncategorized," ... from everything I see, has no respect for this person.
"
126,3,uncategorized,uncategorized,uncategorized,uncategorized," Well, that's because he'd rather have a puppet as president of the United States.
"
127,1,uncategorized,uncategorized,uncategorized,uncategorized," No puppet. No puppet.
"
128,3,uncategorized,uncategorized,uncategorized,uncategorized," And it's pretty clear...
"
129,1,uncategorized,uncategorized,uncategorized,uncategorized," You're the puppet!
"
130,3,uncategorized,uncategorized,uncategorized,uncategorized," It's pretty clear you won't admit...
"
