index,speaker,speaker_name,topic,text
79,clinton,CLINTON,"economy, jobs","We just have a different view about what’s best for growing the economy, how we make investments that will actually produce jobs and rising incomes."
80,clinton,CLINTON,economy,"I think at it, from somewhat different perspectives."
81,clinton,CLINTON,misc,I understand that.
82,clinton,CLINTON,trump,"You know, Donald was very fortunate in his life, and that’s all to his benefit."
83,clinton,CLINTON,"trump, economy","He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we’ll be and that everything will work out from there."
84,clinton,CLINTON,economy,I don’t buy that.
85,clinton,CLINTON,economy,I have a different experience.
86,clinton,CLINTON,economy,My father was a small-businessman.
87,clinton,CLINTON,economy,He worked really hard.
88,clinton,CLINTON,economy,"He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going."
89,clinton,CLINTON,middle,"And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we’ll grow."
90,clinton,CLINTON,economy,That’s the kind of economy I want us to see again.
91,moderator,MODERATOR,trump," Let me follow up with Mr. Trump, if you can."
92,moderator,MODERATOR,"question, jobs","You’ve talked about creating 25 million jobs, and you’ve promised to bring back millions of jobs for Americans."
93,moderator,MODERATOR,"question, jobs",How are you going to bring back the industries that have left this country for cheaper labor overseas?
94,moderator,MODERATOR,"question, jobs","How, specifically, are you going to tell American manufacturers that you have to come back?"
95,trump,TRUMP,economy,"Well, for one thing and before we start on that my father gave me a very small loan in 1975, and I built it into a company that’s worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that’s the kind of thinking that our country needs."
96,trump,TRUMP,"economy, america",Our country’s in deep trouble.
97,trump,TRUMP,"china, economy","We don’t know what we’re doing when it comes to devaluations and all of these countries all over the world, especially China."
98,trump,TRUMP,economy,"They’re the best, the best ever, at it."
99,trump,TRUMP,economy,"What they’re doing to us is a very, very sad thing."
100,trump,TRUMP,trade,We have to renegotiate our trade deals.
101,trump,TRUMP,"china, jobs","And, Lester, they’re taking our jobs, they’re giving incentives, they’re doing things that, frankly, we don’t do."
102,trump,TRUMP,mexico,Let me give you the example of Mexico.
103,trump,TRUMP,taxes,They have a VAT tax.
104,trump,TRUMP,taxes,We’re on a different system.
105,trump,TRUMP,"mexico, taxes","When we sell into Mexico, there’s a tax."
106,trump,TRUMP,taxes,"When they sell in an automatic, 16 percent, approximately."
107,trump,TRUMP,taxes,"When they sell into us, there’s no tax."
108,trump,TRUMP,taxes,It’s a defective agreement.
109,trump,TRUMP,taxes,"It’s been defective for a long time, many years, but the politicians haven’t done anything about it."
110,trump,TRUMP,h-clinton,"Now, in all fairness to Secretary Clinton, yes, is that OK?"
111,trump,TRUMP,misc,I want you to be very happy.
112,trump,TRUMP,misc,It’s very important to me.
113,trump,TRUMP,"h-clinton, taxes","But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently."
114,trump,TRUMP,h-clinton,She’s been doing this for 30 years.
115,trump,TRUMP,taxes,And why hasn’t she made the agreements better?
116,trump,TRUMP,trade,The NAFTA agreement is defective.
117,trump,TRUMP,trade,"Just because of the tax and many other reasons, but just because of the fact..."
118,moderator,MODERATOR,misc," Let me interrupt just a moment, but..."
119,trump,TRUMP,"taxes, trade"," Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we’ve created a movement."
120,trump,TRUMP,misc,They should have been doing this for years.
121,trump,TRUMP,"jobs, economy","What’s happened to our jobs and our country and our economy generally is look, we owe $20 trillion."
122,trump,TRUMP,misc,"We cannot do it any longer, Lester."
123,moderator,MODERATOR,question," Back to the question, though."
124,moderator,MODERATOR,"question, jobs","How do you bring back specifically bring back jobs, American manufacturers?"
125,moderator,MODERATOR,"question, jobs",How do you make them bring the jobs back?
126,trump,TRUMP,jobs," Well, the first thing you do is don’t let the jobs leave."
127,trump,TRUMP,economy,The companies are leaving.
128,trump,TRUMP,economy,"I could name, I mean, there are thousands of them."
129,trump,TRUMP,jobs,"They’re leaving, and they’re leaving in bigger numbers than ever."
130,trump,TRUMP,"mexico, jobs","And what you do is you say, fine, you want to go to Mexico or some other country, good luck."
131,trump,TRUMP,misc,We wish you a lot of luck.
132,trump,TRUMP,"taxes, trade","But if you think you’re going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you’re wrong."
133,trump,TRUMP,taxes,"And once you say you’re going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies."
134,trump,TRUMP,economy,"So what I’m saying is, we can stop them from leaving."
135,trump,TRUMP,economy,We have to stop them from leaving.
136,trump,TRUMP,economy,"And that’s a big, big factor."
137,moderator,MODERATOR,h-clinton, Let me let Secretary Clinton get in here.
138,clinton,CLINTON,economy," Well, let’s stop for a second and remember where we were eight years ago."
