index,speaker_name,speaker,topic,text
636,TRUMP,trump,"taxes, buffet, soros",And so did Warren Buffett and so did George Soros and so did many of the other people that Hillary is getting money from.
637,TRUMP,trump,taxes,"Now, I won't mention their names, because they're rich, but they're not famous."
638,TRUMP,trump,taxes,So we won't make them famous.
639,MODERATOR,moderator,"trump, taxes", So can you - can you say how many years you have avoided paying personal federal income taxes?
640,TRUMP,trump,"trump, taxes"," No, but I pay tax, and I pay federal tax, too."
641,TRUMP,trump,"trump, taxes","But I have a write-off, a lot of it's depreciation, which is a wonderful charge."
642,TRUMP,trump,taxes,I love depreciation.
643,TRUMP,trump,"h-clinton, taxes","You know, she's given it to us."
644,TRUMP,trump,"h-clinton, taxes","Hey, if she had a problem - for 30 years she's been doing this, Anderson."
645,TRUMP,trump,"h-clinton, taxes",I say it all the time.
646,TRUMP,trump,"h-clinton, healthcare",She talks about health care.
647,TRUMP,trump,"h-clinton, taxes",She talks about taxes.
648,TRUMP,trump,h-clinton,She doesn't do anything about anything other than talk.
649,TRUMP,trump,h-clinton,"With her, it's all talk and no action."
650,MODERATOR,moderator,h-clinton, In the past...
651,TRUMP,trump,sanders," And, again, Bernie Sanders, it's really bad judgment."
652,TRUMP,trump,"h-clinton, taxes",She has made bad judgment not only on taxes.
653,TRUMP,trump,"h-clinton, libya, syria, iraq","She's made bad judgments on Libya, on Syria, on Iraq."
654,TRUMP,trump,"h-clinton, obama, iraq, isis","I mean, her and Obama, whether you like it or not, the way they got out of Iraq, the vacuum they've left, that's why ISIS formed in the first place."
655,TRUMP,trump,"h-clinton, isis","They started from that little area, and now they're in 32 different nations, Hillary."
656,MODERATOR,moderator,question," Secretary - I want you to be able to respond, Secretary Clinton."
657,CLINTON,clinton,taxes,"I've been in favor of getting rid of carried interest for years, starting when I was a senator from New York."
658,CLINTON,clinton,taxes,But that's not the point here.
659,MODERATOR,moderator,misc, Allow her to respond.
660,CLINTON,clinton,taxes, Because I was a senator with a Republican president.
661,CLINTON,clinton,taxes, I will be the president and we will get it done.
662,TRUMP,trump,taxes," You could have done it, if you were an effective - if you were an effective senator, you could have done it."
663,TRUMP,trump,taxes,"If you were an effective senator, you could have done it."
664,TRUMP,trump,taxes,But you were not an effective senator.
665,MODERATOR,moderator,misc, Please allow her to respond.
666,MODERATOR,moderator,misc,She didn't interrupt you.
667,CLINTON,clinton,america," You know, under our Constitution, presidents have something called veto power."
668,CLINTON,clinton,trump,"Look, he has now said repeatedly, '30 years this and 30 years that.'"
669,CLINTON,clinton,misc,So let me talk about my 30 years in public service.
670,CLINTON,clinton,"children, healthcare","Eight million kids every year have health insurance, because when I was first lady I worked with Democrats and Republicans to create the Children's Health Insurance Program."
671,CLINTON,clinton,children,Hundreds of thousands of kids now have a chance to be adopted because I worked to change our adoption and foster care system.
672,CLINTON,clinton,healthcare,"After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders who were suffering because they had run toward danger and gotten sickened by it."
673,CLINTON,clinton,"military, healthcare, children","Hundreds of thousands of National Guard and Reserve members have health care because of work that I did, and children have safer medicines because I was able to pass a law that required the dosing to be more carefully done."
674,CLINTON,clinton,"women, russia","When I was secretary of state, I went around the world advocating for our country, but also advocating for women's rights, to make sure that women had a decent chance to have a better life and negotiated a treaty with Russia to lower nuclear weapons."
675,CLINTON,clinton,h-clinton,Four hundred pieces of legislation have my name on it as a sponsor or cosponsor when I was a senator for eight years.
676,CLINTON,clinton,h-clinton,I worked very hard and was very proud to be re-elected in New York by an even bigger margin than I had been elected the first time.
677,CLINTON,clinton,h-clinton,"And as president, I will take that work, that bipartisan work, that finding common ground, because you have to be able to get along with people to get things done in Washington."
678,MODERATOR,moderator,misc," Thank you, secretary."
679,CLINTON,clinton,h-clinton,"I've proven that I can, and for 30 years, I've produced results for people."
680,MODERATOR,moderator,misc," Thank you, secretary."
681,MODERATOR,moderator,"question, syria", We're going to move on to Syria.
682,MODERATOR,moderator,"question, syria",Both of you have mentioned that.
683,TRUMP,trump,"question, syria", She said a lot of things that were false.
684,TRUMP,trump,"question, syria","I mean, I think we should be allowed to maybe..."
685,MODERATOR,moderator,"question, syria"," No, we can - no, Mr. Trump, we're going to go on."
686,MODERATOR,moderator,question,This is about the audience.
687,TRUMP,trump,misc,Excuse me.
688,TRUMP,trump,h-clinton,Because she has been a disaster as a senator.
689,TRUMP,trump,h-clinton,A disaster.
690,MODERATOR,moderator,misc," Mr. Trump, we're going to move on."
691,MODERATOR,moderator,"question, syria","The heart-breaking video of a 5-year-old Syrian boy named Omran sitting in an ambulance after being pulled from the rubble after an air strike in Aleppo focused the world's attention on the horrors of the war in Syria, with 136 million views on Facebook alone."
