index,polarity,subjectivity,timestamp,speaker,speaker_name,text,applause,laughter,interaction,attack,attack_target,agree,agree_target,interruption,interrupt_target,defense,defense_against,reference,mentions,noun_phrases,people,locations,topic,autotopic,first_mention
304,0.5,0.5,,moderator,Moderator," OK, you are unpacking a lot here.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
305,0.0,0.0,,moderator,Moderator,And we’re still on the issue of achieving prosperity.,False,False,False,False,[],False,[],False,,False,,False,[],['’ re'],[],[],"question, economy",['misc'],[]
306,0.0,0.0,,moderator,Moderator,And I want to talk about taxes.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],"question, taxes",['taxes'],[]
307,0.5,1.0,,moderator,Moderator,The fundamental difference between the two of you concerns the wealthy.,False,False,False,False,[],False,[],False,,False,,False,[],['fundamental difference'],[],[],"question, taxes",['misc'],[]
308,0.0,0.0,,moderator,Moderator,"Secretary Clinton, you’re calling for a tax increase on the wealthiest Americans.",False,False,False,False,[],False,[],False,,False,,True,['clinton'],"['’ re', 'tax increase']",[],[],"question, taxes, h-clinton",['taxes'],[]
309,0.0,0.5,,moderator,Moderator,I’d like you to further defend that.,False,False,False,False,[],False,[],False,,False,,False,[],['’ d'],[],[],misc,['misc'],[]
310,0.5,1.0,,moderator,Moderator,"And, Mr. Trump, you’re calling for tax cuts for the wealthy.",False,False,False,False,[],False,[],False,,False,,True,['trump'],"['’ re', 'tax cuts']",[],[],"question, taxes, trump",['taxes'],[]
311,0.0,0.0,,moderator,Moderator,I’d like you to defend that.,False,False,False,False,[],False,[],False,,False,,False,[],['’ d'],[],[],misc,['misc'],[]
312,0.0,0.0,,moderator,Moderator,"And this next two-minute answer goes to you, Mr. Trump.",False,False,False,False,[],False,[],False,,False,,True,['trump'],[],[],[],trump,['misc'],[]
313,0.2739583333333333,0.675,,trump,Trump," Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs.",False,False,False,False,[],False,[],False,,False,,False,[],"['major jobs', 'tremendous jobs']",[],[],jobs,['jobs'],[]
314,0.0,0.0,,trump,Trump,They're going to expand their companies.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],economy,['misc'],[]
315,0.3333333333333333,1.0,,trump,Trump,They're going to do a tremendous job.,False,False,False,False,[],False,[],False,,False,,False,[],['tremendous job'],[],[],jobs,['misc'],[]
316,0.0,0.0,,trump,Trump,I'm getting rid of the carried interest provision.,False,False,False,False,[],False,[],False,,False,,False,[],['interest provision'],[],[],economy,['misc'],[]
317,0.09999999999999999,0.65,,trump,Trump,"And if you really look, it's not a tax it's really not a great thing for the wealthy.",False,False,False,False,[],False,[],False,,False,,False,[],['great thing'],[],[],taxes,['taxes'],[]
318,0.4,0.375,,trump,Trump,It's a great thing for the middle class.,False,False,False,False,[],False,[],False,,False,,False,[],"['great thing', 'middle class']",[],[],middle,['misc'],[]
319,0.8,0.75,,trump,Trump,It's a great thing for companies to expand.,False,False,False,False,[],False,[],False,,False,,False,[],['great thing'],[],[],economy,['misc'],[]
320,-0.13999999999999996,0.13333333333333333,,trump,Trump,"And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what is so bad.",False,False,True,True,['clinton'],False,[],False,,False,,False,[],"[""ca n't"", ""wo n't"", 'red tape']",[],[],"economy, taxes",['taxes'],[]
321,0.08,0.295,,trump,Trump,"So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],taxes,['taxes'],[]
322,0.0,0.0,,trump,Trump,"And instead of bringing it back and putting the money to work, because they can't work out a deal to, and everybody agrees it should be brought back.",False,False,False,False,[],False,[],False,,False,,False,[],"[""ca n't work""]",[],[],"taxes, economy",['misc'],[]
323,0.0,0.0,,trump,Trump,"Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together.",False,False,False,False,[],False,[],False,,False,,False,[],"[""ca n't"", 'red tape', ""ca n't""]",[],[],economy,['misc'],[]
324,0.0,0.0,,trump,Trump,"Because we have, we have a president that can't sit them around a table and get them to approve something.",False,False,False,False,[],False,[],False,,False,,False,[],"[""ca n't""]",[],[],obama,['misc'],[]
325,0.0,0.0,,trump,Trump,And here's the thing.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
326,0.0,0.0,,trump,Trump,"Republicans and Democrats agree that this should be done, $2.5 trillion.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
327,0.0,0.0,,trump,Trump,I happen to think it's double that.,False,False,False,False,[],False,[],False,,False,,False,[],"[""'s double""]",[],[],misc,['misc'],[]
328,0.0,0.0,,trump,Trump,"It's probably $5 trillion that we can't bring into our country, Lester.",False,False,False,False,[],False,[],False,,False,,False,[],"[""ca n't"", 'lester']",[],[],economy,['misc'],[]
329,0.19416666666666665,0.5383333333333333,,trump,Trump,"And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful.",False,False,False,False,[],False,[],False,,False,,False,[],['inner cities'],[],[],inner,['misc'],[]
330,0.0,0.0,,trump,Trump,But we have no leadership.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
331,0.6,0.9,,trump,Trump,"And honestly, that starts with Secretary Clinton.",False,False,True,False,[],False,[],False,,False,,True,['clinton'],[],[],[],h-clinton,['misc'],[]
332,0.0,0.125,,moderator,Moderator,"Alright, you have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.",False,False,False,False,[],False,[],False,,False,,True,['clinton'],"['alright', 'tax increases']",[],[],"taxes, h-clinton",['taxes'],[]
333,0.0,0.0,,clinton,Clinton," I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
334,0.0,0.0,,clinton,Clinton,"Yeah, why not?",False,False,False,False,[],False,[],False,,False,,False,[],['yeah'],[],[],misc,['misc'],[]
335,-0.04999999999999999,0.7,,clinton,Clinton,"(LAUGHTER)  You know, just join the debate by saying more crazy things.",False,True,False,False,[],False,[],False,,False,,False,[],"['laughter', 'crazy things']",[],[],misc,['misc'],[]
336,0.2,0.9,,clinton,Clinton,"Now, let me say this, it is absolutely the case...",False,False,False,False,[],False,[],False,,False,,False,[],['case ...'],[],[],misc,['misc'],[]
337,-0.3,0.45,,trump,Trump, There's nothing crazy about not letting our companies bring their money back into their country.,False,False,True,False,[],False,[],True,clinton,False,,False,[],[],[],[],economy,['misc'],[]
338,0.0,0.0,,moderator,Moderator," This is this is Secretary Clinton's two minutes, please.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],h-clinton,['misc'],[]
339,0.0,0.0,,clinton,Clinton," Yeah, well, let's start the clock again, Lester.",False,False,False,False,[],False,[],False,,False,,False,[],"['yeah', 'lester']",[],[],misc,['misc'],[]
340,0.0,0.0,,clinton,Clinton,We've looked at your tax proposals.,False,False,False,False,[],False,[],False,,False,,False,[],['tax proposals'],[],[],taxes,['taxes'],[]
341,0.0,0.0,,clinton,Clinton,"I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas.",False,False,False,False,[],False,[],False,,False,,False,[],['corporate tax rates'],[],[],taxes,['taxes'],[]
342,0.0,0.0,,clinton,Clinton,I happen to support that.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
343,0.0,0.0,,trump,Trump, Then you didn't read it.,False,False,True,False,[],False,[],True,clinton,False,,False,[],[],[],[],misc,['misc'],[]
344,0.0,0.1,,clinton,Clinton," I happen to, I happen to support that in a way that will actually work to our benefit.",False,False,True,False,[],False,[],True,trump,False,,False,[],[],[],[],misc,['misc'],[]
345,0.0,0.0,,clinton,Clinton,"But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do.",False,False,True,False,[],False,[],False,,False,,True,['trump'],[],[],[],"taxes, trump",['misc'],[]
346,0.0,0.0,,clinton,Clinton,You've proposed an approach that has a...,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],taxes,['misc'],[]
347,0.0,0.0,,trump,Trump, Who gave it that name?,False,False,True,False,[],False,[],True,clinton,False,,False,[],['who'],[],[],misc,['misc'],[]
348,0.25,0.3333333333333333,,trump,Trump,"The first I’ve, who gave it that name?",False,False,False,False,[],False,[],False,,False,,False,[],['’ ve'],[],[],misc,['misc'],[]
349,0.0,0.0,,moderator,Moderator,"(CROSSTALK)  HOLT: Mr. Trump, this is Secretary Clinton's two minutes.",False,False,False,False,[],False,[],False,,False,,True,['trump'],"['crosstalk', 'holt']",[],[],h-clinton,['misc'],[]
350,0.0,0.0,,clinton,Clinton,... $4 billion tax benefit for your family.,False,False,False,False,[],False,[],False,,False,,False,[],"['... $', 'tax benefit']",[],[],"trump, taxes",['taxes'],[]
351,0.2,0.2,,trump,Trump,How much for my family?,False,False,True,False,[],False,[],True,clinton,False,,False,[],[],[],[],misc,['misc'],[]
352,0.2,0.2,,trump,Trump," Lester, how much?",False,False,False,False,[],False,[],False,,False,,False,[],['lester'],[],[],misc,['misc'],[]
353,0.0,0.0,,clinton,Clinton," ... as I said, trumped-up trickle-down.",False,False,True,False,[],False,[],True,trump,False,,False,[],['trumped-up trickle-down'],[],[],economy,['misc'],[]
354,0.0,0.0,,clinton,Clinton,Trickle-down did not work.,False,False,False,False,[],False,[],False,,False,,False,[],['trickle-down'],[],[],economy,['misc'],[]
355,-0.175,0.175,,clinton,Clinton,"It got us into the mess we were in, in 2008 and 2009.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],economy,['misc'],[]
356,0.5,1.0,,clinton,Clinton,Slashing taxes on the wealthy hasn't worked.,False,False,False,False,[],False,[],False,,False,,False,[],['slashing'],[],[],taxes,['taxes'],[]
357,0.35714285714285715,0.8214285714285714,,clinton,Clinton,"And a lot of really smart, wealthy people know that.",False,False,False,False,[],False,[],False,,False,,False,[],['wealthy people'],[],[],misc,['misc'],[]
358,0.25,0.25,,clinton,Clinton,"And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class.",False,False,False,False,[],False,[],False,,False,,False,[],['middle class'],[],[],middle,['misc'],[]
359,0.0,0.0,,clinton,Clinton, I don't think top-down works in America.,False,False,False,False,[],False,[],False,,False,,False,[],['america'],[],[],economy,['misc'],[]
360,0.15,0.225,,clinton,Clinton,"I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their their debt from college at a lower rate.",False,False,False,False,[],False,[],False,,False,,False,[],"['middle class', 'middle class', 'college debt-free', 'young people', 'people refinance']",[],[],"middle, deficit, education",['education'],[]
361,0.2,0.2,,clinton,Clinton,Those are the kinds of things that will really boost the economy.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],economy,['economic-inequality'],[]
362,0.2,0.575,,clinton,Clinton,"Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.",False,False,False,False,[],False,[],False,,False,,False,[],"['broad-based', 'inclusive growth', 'america']",[],[],economy,['misc'],[]
363,0.0,0.0,,moderator,Moderator," Mr. Trump, we're...",False,False,False,False,[],False,[],False,,False,,True,['trump'],"[""'re ...""]",[],[],trump,['misc'],[]
364,-0.10833333333333334,0.3,,trump,Trump,"Typical politician, all talk, no action.",False,False,False,False,[],False,[],False,,False,,False,[],['typical politician'],[],[],misc,['misc'],[]
365,0.7,0.6000000000000001,,trump,Trump,"Sounds good, doesn't work.",False,False,False,False,[],False,[],False,,False,,False,[],"['sounds', ""n't work""]",[],[],misc,['misc'],[]
366,0.0,0.0,,trump,Trump,Never going to happen.,False,False,False,False,[],False,[],False,,False,,False,[],['never'],[],[],misc,['misc'],[]
367,-0.3499999999999999,0.5833333333333333,,trump,Trump,Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.,False,False,True,True,['clinton'],False,[],False,,False,,False,[],['such bad decisions'],[],[],"jobs, h-clinton",['jobs'],[]
368,-0.09999999999999998,0.875,,trump,Trump,"Now, look, we have the worst revival of an economy since the Great Depression.",False,False,False,False,[],False,[],False,,False,,False,[],['depression'],[],[],economy,['economic-inequality'],[]
